Running 1m test @ http://localhost:8080/wrk2-api/review/compose
  2 threads and 10 connections
  Thread calibration: mean lat.: 44.088ms, rate sampling interval: 191ms
  Thread calibration: mean lat.: 44.367ms, rate sampling interval: 196ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency   105.61ms  177.92ms 974.85ms   90.62%
    Req/Sec    98.80     17.83   136.00     71.65%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   41.22ms
 75.000%   99.97ms
 90.000%  262.91ms
 99.000%  974.85ms
 99.900%    1.36s 
 99.990%    1.40s 
 99.999%    1.42s 
100.000%    1.42s 

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       3.983     0.000000            1         1.00
      11.831     0.100000          991         1.11
      18.015     0.200000         1981         1.25
      24.703     0.300000         2972         1.43
      32.095     0.400000         3961         1.67
      41.215     0.500000         4952         2.00
      47.231     0.550000         5446         2.22
      55.455     0.600000         5944         2.50
      66.367     0.650000         6437         2.86
      80.831     0.700000         6931         3.33
      99.967     0.750000         7426         4.00
     111.551     0.775000         7677         4.44
     128.255     0.800000         7922         5.00
     148.351     0.825000         8169         5.71
     176.639     0.850000         8416         6.67
     208.895     0.875000         8664         8.00
     232.959     0.887500         8788         8.89
     262.911     0.900000         8911        10.00
     302.335     0.912500         9035        11.43
     348.415     0.925000         9159        13.33
     398.079     0.937500         9283        16.00
     428.031     0.943750         9345        17.78
     453.375     0.950000         9406        20.00
     487.167     0.956250         9468        22.86
     536.575     0.962500         9530        26.67
     588.287     0.968750         9592        32.00
     625.151     0.971875         9623        35.56
     687.615     0.975000         9654        40.00
     753.151     0.978125         9685        45.71
     812.031     0.981250         9716        53.33
     876.031     0.984375         9747        64.00
     894.975     0.985938         9762        71.11
     922.111     0.987500         9778        80.00
     960.511     0.989062         9793        91.43
     986.111     0.990625         9810       106.67
    1007.615     0.992188         9825       128.00
    1018.367     0.992969         9832       142.22
    1032.191     0.993750         9840       160.00
    1063.935     0.994531         9848       182.86
    1106.943     0.995313         9855       213.33
    1163.263     0.996094         9864       256.00
    1174.527     0.996484         9867       284.44
    1185.791     0.996875         9871       320.00
    1201.151     0.997266         9874       365.71
    1220.607     0.997656         9878       426.67
    1296.383     0.998047         9882       512.00
    1309.695     0.998242         9884       568.89
    1336.319     0.998437         9886       640.00
    1341.439     0.998633         9888       731.43
    1362.943     0.998828         9891       853.33
    1366.015     0.999023         9892      1024.00
    1370.111     0.999121         9893      1137.78
    1379.327     0.999219         9894      1280.00
    1381.375     0.999316         9896      1462.86
    1381.375     0.999414         9896      1706.67
    1388.543     0.999512         9897      2048.00
    1388.543     0.999561         9897      2275.56
    1396.735     0.999609         9898      2560.00
    1396.735     0.999658         9898      2925.71
    1401.855     0.999707         9899      3413.33
    1401.855     0.999756         9899      4096.00
    1401.855     0.999780         9899      4551.11
    1404.927     0.999805         9900      5120.00
    1404.927     0.999829         9900      5851.43
    1404.927     0.999854         9900      6826.67
    1404.927     0.999878         9900      8192.00
    1404.927     0.999890         9900      9102.22
    1421.311     0.999902         9901     10240.00
    1421.311     1.000000         9901          inf
#[Mean    =      105.613, StdDeviation   =      177.916]
#[Max     =     1420.288, Total count    =         9901]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  11905 requests in 1.00m, 2.09MB read
Requests/sec:    198.41
Transfer/sec:     35.65KB
