Running 1m test @ http://localhost:8080/wrk2-api/review/compose
  2 threads and 10 connections
  Thread calibration: mean lat.: 233.609ms, rate sampling interval: 1232ms
  Thread calibration: mean lat.: 198.766ms, rate sampling interval: 924ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    87.17ms   36.96ms 235.26ms   88.34%
    Req/Sec    11.46      3.48    20.00     81.91%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   75.84ms
 75.000%   93.82ms
 90.000%  128.00ms
 99.000%  235.26ms
 99.900%  354.05ms
 99.990%  358.65ms
 99.999%  358.65ms
100.000%  358.65ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      44.703     0.000000            1         1.00
      59.359     0.100000          121         1.11
      63.839     0.200000          239         1.25
      67.455     0.300000          360         1.43
      71.423     0.400000          477         1.67
      75.839     0.500000          596         2.00
      78.719     0.550000          656         2.22
      81.919     0.600000          717         2.50
      85.183     0.650000          776         2.86
      89.663     0.700000          835         3.33
      93.823     0.750000          894         4.00
      97.535     0.775000          924         4.44
     100.927     0.800000          954         5.00
     105.343     0.825000          984         5.71
     109.887     0.850000         1014         6.67
     118.463     0.875000         1043         8.00
     123.839     0.887500         1058         8.89
     127.999     0.900000         1074        10.00
     130.943     0.912500         1088        11.43
     135.679     0.925000         1103        13.33
     148.095     0.937500         1118        16.00
     156.159     0.943750         1125        17.78
     164.095     0.950000         1133        20.00
     166.527     0.956250         1140        22.86
     173.823     0.962500         1148        26.67
     186.495     0.968750         1155        32.00
     190.719     0.971875         1159        35.56
     196.095     0.975000         1163        40.00
     200.959     0.978125         1166        45.71
     206.975     0.981250         1171        53.33
     217.599     0.984375         1174        64.00
     222.591     0.985938         1176        71.11
     230.271     0.987500         1178        80.00
     231.807     0.989062         1179        91.43
     239.615     0.990625         1181       106.67
     246.271     0.992188         1183       128.00
     247.551     0.992969         1184       142.22
     253.183     0.993750         1185       160.00
     290.303     0.994531         1186       182.86
     296.959     0.995313         1187       213.33
     302.591     0.996094         1188       256.00
     302.591     0.996484         1188       284.44
     322.815     0.996875         1189       320.00
     322.815     0.997266         1189       365.71
     325.631     0.997656         1190       426.67
     325.631     0.998047         1190       512.00
     325.631     0.998242         1190       568.89
     354.047     0.998437         1191       640.00
     354.047     0.998633         1191       731.43
     354.047     0.998828         1191       853.33
     354.047     0.999023         1191      1024.00
     354.047     0.999121         1191      1137.78
     358.655     0.999219         1192      1280.00
     358.655     1.000000         1192          inf
#[Mean    =       87.174, StdDeviation   =       36.959]
#[Max     =      358.400, Total count    =         1192]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1454 requests in 1.00m, 261.27KB read
  Socket errors: connect 0, read 0, write 0, timeout 6
Requests/sec:     24.23
Transfer/sec:      4.35KB
