Running 1m test @ http://localhost:8080/wrk2-api/post/compose
  2 threads and 10 connections
  Thread calibration: mean lat.: 126.764ms, rate sampling interval: 798ms
  Thread calibration: mean lat.: 113.833ms, rate sampling interval: 692ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    82.00ms  159.78ms 807.42ms   89.76%
    Req/Sec   200.63     17.71   240.00     71.64%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   21.98ms
 75.000%   54.49ms
 90.000%  248.06ms
 99.000%  807.42ms
 99.900%    1.04s 
 99.990%    1.07s 
 99.999%    1.10s 
100.000%    1.10s 

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       2.351     0.000000            2         1.00
       6.483     0.100000         2010         1.11
       9.551     0.200000         4020         1.25
      12.879     0.300000         6028         1.43
      16.735     0.400000         8036         1.67
      21.983     0.500000        10047         2.00
      25.407     0.550000        11052         2.22
      29.663     0.600000        12058         2.50
      34.943     0.650000        13061         2.86
      42.847     0.700000        14066         3.33
      54.495     0.750000        15069         4.00
      63.583     0.775000        15570         4.44
      76.799     0.800000        16073         5.00
      94.399     0.825000        16575         5.71
     125.631     0.850000        17077         6.67
     175.231     0.875000        17581         8.00
     211.327     0.887500        17830         8.89
     248.063     0.900000        18082        10.00
     293.887     0.912500        18336        11.43
     352.255     0.925000        18584        13.33
     422.143     0.937500        18836        16.00
     444.927     0.943750        18960        17.78
     471.295     0.950000        19088        20.00
     495.103     0.956250        19215        22.86
     521.471     0.962500        19337        26.67
     568.831     0.968750        19464        32.00
     587.263     0.971875        19526        35.56
     612.351     0.975000        19588        40.00
     638.975     0.978125        19651        45.71
     661.503     0.981250        19716        53.33
     701.951     0.984375        19778        64.00
     724.479     0.985938        19808        71.11
     771.071     0.987500        19840        80.00
     796.671     0.989062        19871        91.43
     820.735     0.990625        19902       106.67
     855.039     0.992188        19934       128.00
     879.103     0.992969        19949       142.22
     891.903     0.993750        19965       160.00
     905.215     0.994531        19981       182.86
     922.623     0.995313        19996       213.33
     946.175     0.996094        20013       256.00
     963.583     0.996484        20020       284.44
     976.895     0.996875        20028       320.00
     983.039     0.997266        20036       365.71
     992.255     0.997656        20044       426.67
     998.399     0.998047        20051       512.00
    1003.007     0.998242        20055       568.89
    1007.615     0.998437        20059       640.00
    1014.783     0.998633        20063       731.43
    1029.119     0.998828        20067       853.33
    1048.063     0.999023        20071      1024.00
    1054.719     0.999121        20073      1137.78
    1057.791     0.999219        20076      1280.00
    1058.815     0.999316        20077      1462.86
    1059.839     0.999414        20079      1706.67
    1062.911     0.999512        20081      2048.00
    1063.935     0.999561        20082      2275.56
    1064.959     0.999609        20084      2560.00
    1064.959     0.999658        20084      2925.71
    1067.007     0.999707        20085      3413.33
    1069.055     0.999756        20087      4096.00
    1069.055     0.999780        20087      4551.11
    1069.055     0.999805        20087      5120.00
    1069.055     0.999829        20087      5851.43
    1071.103     0.999854        20088      6826.67
    1071.103     0.999878        20088      8192.00
    1071.103     0.999890        20088      9102.22
    1078.271     0.999902        20089     10240.00
    1078.271     0.999915        20089     11702.86
    1078.271     0.999927        20089     13653.33
    1078.271     0.999939        20089     16384.00
    1078.271     0.999945        20089     18204.44
    1097.727     0.999951        20090     20480.00
    1097.727     1.000000        20090          inf
#[Mean    =       81.999, StdDeviation   =      159.778]
#[Max     =     1096.704, Total count    =        20090]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  23870 requests in 1.00m, 4.89MB read
Requests/sec:    397.82
Transfer/sec:     83.53KB
